id,name,description,risk,category,area,source,docs
power.control.perf-calculate-actual-utilization,Perf Calculate Actual Utilization,Perf Calculate Actual Utilization is a low-level power-manager registry value under the main Power key.,Medium,Power,Registry,research/records/power.control.perf-calculate-actual-utilization.json,Docs/power/power.md
power.control.power-request-override-subtree,Power Request Override Subtree,This is a low-level Control\Power subtree that appears to back override handling for power requests.,Medium,Power,Registry,research/records/power.control.power-request-override-subtree.json,Docs/power/power.md
power.control.timer-rebase-threshold-on-drips-exit,Timer Rebase Threshold On Drips Exit,Timer Rebase Threshold On Drips Exit is a low-level power-manager registry value under the main Power key.,Medium,Power,Registry,research/records/power.control.timer-rebase-threshold-on-drips-exit.json,Docs/power/power.md
power.disable-cpu-idle-states,Disable CPU Idle States (C-States),Writes the idle-state-related Control\\Power registry values used by this tweak. This changes power behavior and can increase power draw.,Advanced,Power,Registry,engine/Tweaks/Power/CPUPowerTweaks.cs#L56,Docs/power/power.md
power.disable-cpu-parking,Disable CPU Core Parking,"Writes the core-parking-related Control\\Power registry values used by this tweak, including LatencyToleranceParked, LatencyToleranceSoftParked, Class1InitialUnparkCount, and MultiparkGranularity.",Safe,Power,Registry,engine/Tweaks/Power/CPUPowerTweaks.cs#L29,Docs/power/power.md
power.disable-fast-startup,Disable Fast Startup (Hiberboot),Disables Fast Startup so shutdown uses a full kernel teardown instead of reusing the hibernated kernel session on next boot.,Safe,Power,Registry,engine/Tweaks/Power/PowerSettingsTweaks.cs#L20,Docs/power/power.md
power.disable-hibernation,Disable Hibernation,Runs powercfg /hibernate off. This disables hibernation and removes hiberfil.sys.,Safe,Power,Command,engine/Tweaks/Commands/Power/DisableHibernationTweak.cs#L15,Docs/power/power.md
power.disable-network-power-saving.policy,Network Power and Multimedia Responsiveness,Writes the documented DisableTaskOffload and MMCSS SystemResponsiveness values while excluding the archived opaque NetworkThrottlingIndex write.,Safe,Power,Registry,app/Services/TweakProviders/PowerTweakProvider.cs#L42,Docs/power/power.md
power.disable-power-throttling,Disable Power Throttling,Disables Windows Power Throttling so background processes are not deprioritized by that policy surface.,Safe,Power,Registry,engine/Tweaks/Power/PowerSettingsTweaks.cs#L40,Docs/power/power.md
power.disable-superfetch,Disable Superfetch (SysMain),Disables the SysMain service that preloads frequently used applications and maintains usage heuristics.,Safe,Power,Command,engine/Tweaks/Commands/Performance/DisableSuperfetchTweak.cs#L14,Docs/power/power.md
power.disable-windows-search,Disable Windows Search,Disables the Windows Search indexing service. This reduces indexing activity but also slows file-search freshness and query coverage.,Advanced,Power,Command,engine/Tweaks/Commands/Performance/DisableWindowsSearchTweak.cs#L13,Docs/power/power.md
power.hide-hibernate-option,Show Hibernate Option,Windows can show or hide Hibernate in the power menu. This policy decides whether that shortcut is visible.,Medium,Power,Registry,research/records/power.hide-hibernate-option.json,Docs/power/power.md
power.hide-lock-option,Show Lock Option,Windows can show or hide the Lock action in the user tile menu. This policy decides whether that shortcut is visible.,Medium,Power,Registry,research/records/power.hide-lock-option.json,Docs/power/power.md
power.hide-sleep-option,Show Sleep Option,Windows can show or hide Sleep in the power menu. This policy decides whether that shortcut is visible.,Medium,Power,Registry,research/records/power.hide-sleep-option.json,Docs/power/power.md
power.optimize-cpu-boost,Apply Processor Performance Registry Bundle,"Writes the PerfBoostAtGuaranteed, HighPerfDurationBoot, LatencyToleranceDefault, and PerfCalculateActualUtilization values under Control\\Power.",Safe,Power,Registry,engine/Tweaks/Power/CPUPowerTweaks.cs#L86,Docs/power/power.md
power.optimize-gaming-network,Set MMCSS Games Task Profile,"Writes the MMCSS Games task-profile values for priority, scheduling category, SFIO priority, GPU priority, and affinity.",Safe,Power,Registry,engine/Tweaks/Power/NetworkAdapterPowerTweaks.cs#L50,Docs/power/power.md
power.optimize-performance,Apply Grouped Power-Control Registry Bundle,"Writes the grouped power-control registry values used by this tweak for timer coalescing, deep I/O coalescing, event processing, parked-core tolerance, and energy estimation.",Advanced,Power,Registry,app/Services/TweakProviders/PowerTweakProvider.cs#L24,Docs/power/power.md
power.session-watchdog-timeouts,Session Manager Watchdog Timeouts,These values appear to control watchdog timeout behavior around directed power transitions. They are not normal user-facing power options and are being tracked as a low-level research lane rather than a supported tweak.,Medium,Power,Registry,research/records/power.session-watchdog-timeouts.json,Docs/power/power.md
privacy.block-microsoft-accounts,Microsoft Accounts on This Device,"Windows can let people add Microsoft accounts or sign in with them on the device. This security option controls whether Microsoft accounts are allowed, partly blocked, or fully blocked.",Medium,Privacy,Registry,research/records/privacy.block-microsoft-accounts.json,Docs/privacy/privacy-verified.md
privacy.deny-app-access,Deny App Access (Except Microphone),Forces Windows apps to be denied access to sensitive capabilities.,Risky,Privacy,Registry,app/Services/TweakProviders/PrivacyTweakProvider.cs#L162,Docs/privacy/privacy-verified.md
privacy.deny-app-access.policy,App capability access policies,"These policies stop Windows apps from accessing sensitive capabilities like camera, contacts, location, and background activity.",Medium,Privacy,Registry,research/records/privacy.deny-app-access.policy.review.json,Docs/privacy/privacy-verified.md
privacy.disable-activity-history,Windows Activity History,"Windows can keep track of what you did on the device and can upload some of that activity so it can appear across devices. These policy values decide whether that activity feed can exist, be published, and be uploaded.",Medium,Privacy,Registry,research/records/privacy.disable-activity-history.json,Docs/privacy/privacy-verified.md
privacy.disable-advertising-id,Disable Advertising ID,Windows uses an advertising ID so apps can personalize experiences across apps. Turning it off stops apps from using that ID for cross-app personalization.,Medium,Privacy,Registry,research/records/privacy.disable-advertising-id.json,Docs/privacy/privacy-verified.md
privacy.disable-app-diagnostics,App Diagnostic Information Access,"Some Windows apps can request diagnostic information about other apps. This policy decides whether apps are user-controlled, always allowed, or always denied.",Medium,Privacy,Registry,research/records/privacy.disable-app-diagnostics.json,Docs/privacy/privacy-verified.md
privacy.disable-app-launch-tracking,App Launch Tracking,Windows can track which apps you launch so Start and Search can personalize some results. People turn it off when they want less app-usage tracking.,Medium,Privacy,Registry,research/records/privacy.disable-app-launch-tracking.review.json,Docs/privacy/privacy-verified.md
privacy.disable-app-suggestions,App Suggestions in Start,Windows can suggest promoted apps and related content in places like the Start menu. People often turn this off when they want a cleaner Start experience.,Medium,Privacy,Registry,research/records/privacy.disable-app-suggestions.review.json,Docs/privacy/privacy-verified.md
privacy.disable-appcompat-engine.policy,Disable Application Compatibility Engine and SwitchBack,Windows includes an Application Compatibility Engine that checks a database every time an app starts and may apply compatibility fixes. SwitchBack allows apps that detect Windows Vista or later to also receive fixes designed for older OS versions. These two policies let you disable both behaviors.,Medium,Privacy,Registry,research/records/privacy.disable-appcompat-engine.policy.review.json,Docs/privacy/privacy-verified.md
privacy.disable-appdeviceinventory.policy,Disable App Device Inventory Policies,"Windows 11 24H2 added policies that track which APIs applications use, record install events, capture application footprints, and back up Win32 app data. These four policies let you turn those collection behaviors off.",Medium,Privacy,Registry,research/records/privacy.disable-appdeviceinventory.policy.review.json,Docs/privacy/privacy-verified.md
privacy.disable-application-compatibility,Disable Application Compatibility,"Turns off Windows application compatibility components, telemetry, and related tasks.",Risky,Privacy,Composite,app/Services/TweakProviders/PrivacyTweakProvider.cs#L47,Docs/privacy/privacy-verified.md
privacy.disable-application-telemetry,Application Compatibility Telemetry,Windows can collect anonymous telemetry about how applications use certain system components so compatibility systems can learn from it. This policy decides whether that telemetry engine runs.,Medium,Privacy,Registry,research/records/privacy.disable-application-telemetry.json,Docs/privacy/privacy-verified.md
privacy.disable-background-apps,Background App Execution,"Windows apps can keep running in the background to sync, refresh notifications, or finish work. This policy decides whether users control that, all apps are allowed, or all apps are denied.",Medium,Privacy,Registry,research/records/privacy.disable-background-apps.json,Docs/privacy/privacy-verified.md
privacy.disable-biometrics,Windows Biometrics,"Windows can use fingerprint, face, or other biometric features for sign-in and related capabilities. This device policy controls whether biometrics are allowed at all.",Medium,Privacy,Registry,research/records/privacy.disable-biometrics.json,Docs/privacy/privacy-verified.md
privacy.disable-biometrics-domain-logon,Biometric Sign-in for Domain Accounts,Windows can let domain users sign in with biometrics when the device and domain setup support it. This policy controls whether domain accounts are allowed to use that biometric sign-in path.,Medium,Privacy,Registry,research/records/privacy.disable-biometrics-domain-logon.json,Docs/privacy/privacy-verified.md
privacy.disable-biometrics-logon,Biometric Sign-in,Windows can let users sign in with biometrics like fingerprint or face through the credential provider. This policy controls whether that sign-in path is available.,Medium,Privacy,Registry,research/records/privacy.disable-biometrics-logon.json,Docs/privacy/privacy-verified.md
privacy.disable-camera,Camera Device Use,Windows can allow or block the use of camera devices on the machine. This policy decides whether cameras are usable at all.,Medium,Privacy,Registry,research/records/privacy.disable-camera.json,Docs/privacy/privacy-verified.md
privacy.disable-ceip,Disable CEIP,Opts out of Customer Experience Improvement Program data collection.,Advanced,Privacy,Registry,app/Services/TweakProviders/PrivacyTweakProvider.cs#L89,Docs/privacy/privacy-verified.md
privacy.disable-cli-telemetry,PowerShell and .NET CLI Telemetry Opt-Out,PowerShell and the .NET CLI can send telemetry about tool usage. This tweak sets the current user's opt-out environment variables so new shells and CLI sessions stop sending that telemetry.,Medium,Privacy,Registry,research/records/privacy.disable-cli-telemetry.json,Docs/privacy/privacy-verified.md
privacy.disable-consumer-account-content,Cloud Consumer Account State Content,Some Windows experiences can use cloud-backed consumer account state content. This policy decides whether those experiences may use that content or must fall back to default content instead.,Medium,Privacy,Registry,research/records/privacy.disable-consumer-account-content.json,Docs/privacy/privacy-verified.md
privacy.disable-copilot,Windows Copilot,Windows Copilot is the built-in AI assistant experience in Windows. This policy decides whether that experience is available to the signed-in user.,Medium,Privacy,Registry,research/records/privacy.disable-copilot.json,Docs/privacy/privacy-verified.md
privacy.disable-cross-device-experiences,Cross-Device Sharing,"Choose whether nearby Windows experiences stay off, work only with your devices, or are available to everyone nearby.",Advanced,Privacy,Registry,app/Services/TweakProviders/PrivacyTweakProvider.cs#L222,Docs/privacy/privacy-verified.md
privacy.disable-cross-device-experiences.policy,Cross-Device Experiences Machine Policy,Windows can let devices belonging to the same user discover each other and continue some experiences across devices. This policy controls the official machine-level part of that feature.,Medium,Privacy,Registry,research/records/privacy.disable-cross-device-experiences.policy.review.json,Docs/privacy/privacy-verified.md
privacy.disable-device-name-telemetry,Device Name in Diagnostic Data,Windows diagnostic data can include the computer name. This policy decides whether that name is allowed to be sent with diagnostic data.,Medium,Privacy,Registry,research/records/privacy.disable-device-name-telemetry.json,Docs/privacy/privacy-verified.md
privacy.disable-diagnostic-data-delete,Diagnostic Data Deletion,Windows can offer a Settings action that deletes diagnostic data associated with the device. This policy decides whether that delete option is available.,Medium,Privacy,Registry,research/records/privacy.disable-diagnostic-data-delete.json,Docs/privacy/privacy-verified.md
privacy.disable-diagnostic-data-viewer,Diagnostic Data Viewer,Windows includes a viewer that can show diagnostic data categories on the device. This policy decides whether that viewer is available.,Medium,Privacy,Registry,research/records/privacy.disable-diagnostic-data-viewer.json,Docs/privacy/privacy-verified.md
privacy.disable-edge-search-suggestions,Edge Address Bar Suggestions,"Microsoft Edge can show web suggestions, local history and favorites suggestions, and legacy address-bar search suggestions as you type. This bundle turns those suggestion sources off.",Medium,Privacy,Registry,research/records/privacy.disable-edge-search-suggestions.json,Docs/privacy/privacy-verified.md
privacy.disable-f1-help,Disable F1 Help,Disables F1 help by renaming HelpPane.exe.,Advanced,Privacy,File,app/Services/TweakProviders/PrivacyTweakProvider.cs#L308,Docs/privacy/privacy-verified.md
privacy.disable-feedback-notifications,Microsoft Feedback Notifications,Windows can occasionally show prompts asking for feedback. This policy decides whether those feedback questions appear on the device.,Medium,Privacy,Registry,research/records/privacy.disable-feedback-notifications.json,Docs/privacy/privacy-verified.md
privacy.disable-file-history,File History,File History is Windows' built-in feature for making regular automatic backups of personal files. This policy decides whether File History can be turned on.,Medium,Privacy,Registry,research/records/privacy.disable-file-history.json,Docs/privacy/privacy-verified.md
privacy.disable-find-my-device,Disable Find My Device,Stops Windows from registering this PC with Find My Device and keeps location-based recovery turned off.,Safe,Privacy,Command,engine/Tweaks/Commands/Privacy/DisableFindMyDeviceTweak.cs#L18,Docs/privacy/privacy-verified.md
privacy.disable-font-providers,Online Font Providers,"Windows can contact an online font provider to download font catalog data and, when needed, font data for rendering text. This policy decides whether that online font path is allowed.",Medium,Privacy,Registry,research/records/privacy.disable-font-providers.json,Docs/privacy/privacy-verified.md
privacy.disable-inking-typing-personalization,Disable Inking & Typing Personalization,Stops sending inking and typing data to Microsoft.,Advanced,Privacy,Registry,app/Services/TweakProviders/PrivacyTweakProvider.cs#L148,Docs/privacy/privacy-verified.md
privacy.disable-kms-activation-telemetry,KMS Client Online AVS Validation,Windows can send KMS client activation-state data to Microsoft during activation. This policy decides whether that data is sent automatically.,Medium,Privacy,Registry,research/records/privacy.disable-kms-activation-telemetry.json,Docs/privacy/privacy-verified.md
privacy.disable-language-list-access,Website Access to Language List,Windows can let websites use your language list to show locally relevant content. This setting controls whether that language-list access is allowed.,Medium,Privacy,Registry,research/records/privacy.disable-language-list-access.review.json,Docs/privacy/privacy-verified.md
privacy.disable-local-security-questions,Security Questions for Local Accounts,Windows can let local-account users create security questions so they can reset their password later. This policy decides whether those security questions are allowed.,Medium,Privacy,Registry,research/records/privacy.disable-local-security-questions.json,Docs/privacy/privacy-verified.md
privacy.disable-location-consent,Disable Location Consent (Current User),This changes the current user's location permission state to deny access for packaged and desktop apps.,Medium,Privacy,Registry,research/records/privacy.disable-location-consent.review.json,Docs/privacy/privacy-verified.md
privacy.disable-location-consent-system,Location Consent Store (System),This changes the system-level location permission state to deny access.,Medium,Privacy,Registry,research/records/privacy.disable-location-consent-system.review.json,Docs/privacy/privacy-verified.md
privacy.disable-location-scripting,Location Scripting,Some scripts and apps can access Windows location features through scripting interfaces. This policy decides whether that scripting access is allowed.,Medium,Privacy,Registry,research/records/privacy.disable-location-scripting.json,Docs/privacy/privacy-verified.md
privacy.disable-location-services,Location Feature,Windows can provide location information to apps and system features. This policy decides whether the location feature is turned off for the computer.,Medium,Privacy,Registry,research/records/privacy.disable-location-services.json,Docs/privacy/privacy-verified.md
privacy.disable-mdm-enrollment,MDM Enrollment,Windows can allow the computer to enroll into a Mobile Device Management service for remote management. This policy decides whether new MDM enrollment is allowed.,Medium,Privacy,Registry,research/records/privacy.disable-mdm-enrollment.json,Docs/privacy/privacy-verified.md
privacy.disable-message-sync,Message Service Cloud Sync,Windows can back up and restore cellular text messages through Microsoft's cloud services. This policy decides whether that cloud sync is allowed on the device.,Medium,Privacy,Registry,research/records/privacy.disable-message-sync.json,Docs/privacy/privacy-verified.md
privacy.disable-offline-files,Disable Offline Files,"Disables Offline Files (CSC) via policy, services, tasks, and Sync Center.",Advanced,Privacy,Composite,app/Services/TweakProviders/PrivacyTweakProvider.cs#L201,Docs/privacy/privacy-verified.md
privacy.disable-offline-files.policy,Offline Files Feature Policy,Offline Files keeps local copies of network files so they can still be used when the computer is offline. This policy decides whether the feature is allowed at all.,Medium,Privacy,Registry,research/records/privacy.disable-offline-files.policy.json,Docs/privacy/privacy-verified.md
privacy.disable-onesettings-downloads,OneSettings Downloads,Windows can periodically connect to the OneSettings service to download configuration settings. This policy decides whether those download attempts happen.,Medium,Privacy,Registry,research/records/privacy.disable-onesettings-downloads.json,Docs/privacy/privacy-verified.md
privacy.disable-online-tips,Online Tips in Settings,The Settings app can contact Microsoft to retrieve tips and help content. This policy decides whether those online tips are allowed.,Medium,Privacy,Registry,research/records/privacy.disable-online-tips.json,Docs/privacy/privacy-verified.md
privacy.disable-pca-diagnostics.policy,Disable PCA Compatibility Diagnostics Detection,"Windows PCA watches for compatibility issues when you run applications and drivers, and can show warnings or suggest fixes. This policy controls whether that detection runs. Disabling it stops PCA from actively monitoring for compatibility problems - it does not disable PCA itself (that is controlled separately by DisablePCA).",Medium,Privacy,Registry,research/records/privacy.disable-pca-diagnostics.policy.review.json,Docs/privacy/privacy-verified.md
privacy.disable-phone-linking,Phone-PC Linking,"Windows can link the PC with a phone so reading, emailing, and similar tasks can continue across devices. This policy decides whether the PC can participate in that linking.",Medium,Privacy,Registry,research/records/privacy.disable-phone-linking.json,Docs/privacy/privacy-verified.md
privacy.disable-program-compatibility-assistant,Disable Program Compatibility Assistant,"Program Compatibility Assistant monitors applications and can suggest compatibility solutions when Windows detects install failures, runtime failures, or blocked drivers. This policy turns PCA off.",Medium,Privacy,Registry,research/records/privacy.disable-program-compatibility-assistant.review.json,Docs/privacy/privacy-verified.md
privacy.disable-recall,Recall Snapshot Saving,Recall can save snapshots of what you have seen on the screen so you can search and revisit it later. This policy decides whether those snapshots can be saved for the signed-in user.,Medium,Privacy,Registry,research/records/privacy.disable-recall.json,Docs/privacy/privacy-verified.md
privacy.disable-resume,Disable Resume for Current User,Resume lets you start on one device and continue on this PC. This tweak turns off that current-user Resume setting.,Medium,Privacy,Registry,research/records/privacy.disable-resume.json,Docs/privacy/privacy-verified.md
privacy.disable-rsop-logging,Resultant Set of Policy Logging,"RSoP logging records which Group Policy settings were applied to the PC. Some people turn it off to reduce policy logging, while administrators often keep it on for troubleshooting and auditing.",Medium,Privacy,Registry,research/records/privacy.disable-rsop-logging.json,Docs/privacy/privacy-verified.md
privacy.disable-search-box-suggestions,File Explorer Search Box Suggestions,"File Explorer can show suggestion pop-ups as you type into its search box, based on past search entries. This policy decides whether those suggestions are available.",Medium,Privacy,Registry,research/records/privacy.disable-search-box-suggestions.json,Docs/privacy/privacy-verified.md
privacy.disable-search-history,Search History Storage and Display,Windows can remember previous search queries and use them to suggest searches later. This policy decides whether that search history is stored and shown for the current user.,Medium,Privacy,Registry,research/records/privacy.disable-search-history.json,Docs/privacy/privacy-verified.md
privacy.disable-sensors,Windows Sensors,"Windows can use hardware sensors such as orientation, ambient light, motion, or other environmental sensors. This policy decides whether sensors are allowed.",Medium,Privacy,Registry,research/records/privacy.disable-sensors.json,Docs/privacy/privacy-verified.md
privacy.disable-sleep-study-diagnostics,Disable Sleep Study Diagnostics,Disables sleep study diagnostic event channels.,Advanced,Privacy,Registry,app/Services/TweakProviders/PrivacyTweakProvider.cs#L102,Docs/privacy/privacy-verified.md
privacy.disable-steps-recorder,Steps Recorder,Steps Recorder can capture user actions and screenshots to help explain a problem. This policy decides whether the feature is available.,Medium,Privacy,Registry,research/records/privacy.disable-steps-recorder.json,Docs/privacy/privacy-verified.md
privacy.disable-suggestions,Disable Suggestions & Tips,"Turns off Windows tips, welcome experiences, and Settings recommendations.",Safe,Privacy,Registry,app/Services/TweakProviders/PrivacyTweakProvider.cs#L288,Docs/privacy/privacy-verified.md
privacy.disable-suggestions-cdm,Disable Content Delivery Manager Suggestions,Disables various suggestions and auto-installed apps from the Content Delivery Manager.,Safe,Privacy,Registry,app/Services/TweakProviders/PrivacyTweakProvider.cs#L131,Docs/privacy/privacy-verified.md
privacy.disable-suggestions.policy,Windows Suggestion Surfaces Policy Group,"Windows uses Spotlight-like suggestion surfaces in Start, Settings, and the Windows Welcome experience. These policies control those official suggestion surfaces.",Medium,Privacy,Registry,research/records/privacy.disable-suggestions.policy.review.json,Docs/privacy/privacy-verified.md
privacy.disable-switchback.policy,Disable SwitchBack Compatibility Policy,"SwitchBack is a Windows compatibility feature that lets newer applications receive compatibility fixes originally designed for older OS versions. On a modern Windows 11 system running only current software, this feature usually has no practical effect. This policy disables it.",Medium,Privacy,Registry,research/records/privacy.disable-switchback.policy.review.json,Docs/privacy/privacy-verified.md
privacy.disable-telemetry-change-notifications,Diagnostic Data Change Notifications,Windows can notify the user when the diagnostic-data opt-in setting changes. This policy decides whether those notifications are shown.,Medium,Privacy,Registry,research/records/privacy.disable-telemetry-change-notifications.json,Docs/privacy/privacy-verified.md
privacy.disable-telemetry-optin-ui,Diagnostic Data Opt-In Settings UI,Windows can show controls in Settings that let a user change diagnostic data choices. This policy decides whether that Settings UI stays available.,Medium,Privacy,Registry,research/records/privacy.disable-telemetry-optin-ui.json,Docs/privacy/privacy-verified.md
privacy.disable-wer,Windows Error Reporting,Windows Error Reporting can send information about crashes and failures so Microsoft or an internal server can analyze them. This policy turns that reporting off for the device.,Medium,Privacy,Registry,research/records/privacy.disable-wer.json,Docs/privacy/privacy-verified.md
privacy.disable-windows-location-provider,Windows Location Provider,Windows has a built-in location provider that apps and system features can use. This policy decides whether that provider is available.,Medium,Privacy,Registry,research/records/privacy.disable-windows-location-provider.json,Docs/privacy/privacy-verified.md
privacy.disable-windows-tips,Turn Off Windows Tips,Windows can show popups and onboarding tips that explain features and suggest ways to use the system. People often turn them off when they want a quieter desktop experience.,Medium,Privacy,Registry,research/records/privacy.disable-windows-tips.review.json,Docs/privacy/privacy-verified.md
privacy.disable-wmplayer-telemetry,Disable Windows Media Player Telemetry,Turns off usage tracking and online metadata for Windows Media Player.,Advanced,Privacy,Registry,app/Services/TweakProviders/PrivacyTweakProvider.cs#L266,Docs/privacy/privacy-verified.md
privacy.hide-last-logged-in-user,Display of the Last Signed-In Username,Windows can show the name of the last person who signed in on the sign-in screen. This setting decides whether that username is shown or hidden.,Medium,Privacy,Registry,research/records/privacy.hide-last-logged-in-user.json,Docs/privacy/privacy-verified.md
privacy.hide-recommended-personalized-sites,Start Personalized Site Recommendations,Windows 11 Start can surface personalized website suggestions. This device policy hides those recommendations for everyone on the machine.,Medium,Privacy,Registry,research/records/privacy.hide-recommended-personalized-sites.json,Docs/privacy/privacy-verified.md
privacy.hide-recommended-personalized-sites-user,Start Personalized Site Recommendations (Current User),Windows 11 Start can surface personalized website suggestions. This user policy hides those recommendations just for the current account.,Medium,Privacy,Registry,research/records/privacy.hide-recommended-personalized-sites-user.json,Docs/privacy/privacy-verified.md
privacy.hide-recommended-section,Start Menu Recommended Section,Windows 11 Start can show a Recommended section with suggested apps and files. This policy lets the device hide that section for everyone.,Medium,Privacy,Registry,research/records/privacy.hide-recommended-section.json,Docs/privacy/privacy-verified.md
privacy.hide-recommended-section-user,Start Menu Recommended Section (Current User),Windows 11 Start can show a Recommended section with suggested apps and files. This user policy hides that section just for the current account.,Medium,Privacy,Registry,research/records/privacy.hide-recommended-section-user.json,Docs/privacy/privacy-verified.md
privacy.hide-username-at-signin,Display of Username During Sign-In,"After someone enters their credentials, Windows can keep showing the username or hide it. This setting decides whether the username stays visible during that sign-in flow.",Medium,Privacy,Registry,research/records/privacy.hide-username-at-signin.json,Docs/privacy/privacy-verified.md
privacy.limit-diagnostic-log-collection,Advanced Diagnostic Log Collection,Windows can collect extra diagnostic logs when advanced diagnostics are involved. This policy decides whether that additional log collection is limited.,Medium,Privacy,Registry,research/records/privacy.limit-diagnostic-log-collection.json,Docs/privacy/privacy-verified.md
privacy.limit-dump-collection,Diagnostic Dump Collection,Windows can collect diagnostic dump data for troubleshooting. This policy decides whether that dump collection is limited.,Medium,Privacy,Registry,research/records/privacy.limit-dump-collection.json,Docs/privacy/privacy-verified.md
privacy.set-diagnostic-data-to-minimum-supported-level,Set Diagnostic Data to Minimum Supported Level,Windows can send different amounts of diagnostic data. This policy sets how much data Windows is allowed to collect and send.,Medium,Privacy,Registry,research/records/privacy.set-diagnostic-data-to-minimum-supported-level.review.json,Docs/privacy/privacy-verified.md
privacy.troubleshooter-dont-run,Recommended Troubleshooting for Known Problems,Windows can automatically apply or suggest troubleshooting for known problems. This policy controls how much of that automation is allowed.,Medium,Privacy,Registry,research/records/privacy.troubleshooter-dont-run.review.json,Docs/privacy/privacy-verified.md
privacy.turn-off-sync-by-default-allow-user-override,Turn Off Settings Sync by Default,"Windows can sync settings like passwords, personalization, app settings, browser settings, and Start layout across devices. These policies control whether those categories are synced and whether users are allowed to turn syncing back on.",Medium,Privacy,Registry,research/records/privacy.turn-off-sync-by-default-allow-user-override.review.json,Docs/privacy/privacy-verified.md
security.disable-defender-sample-submission,Microsoft Defender Sample Submission,"Microsoft Defender can send file samples to Microsoft when cloud analysis needs them. This policy controls whether Defender prompts, sends safe samples, never sends, or sends all samples automatically.",Medium,Security,Registry,research/records/security.disable-defender-sample-submission.review.json,Docs/security/security-verified.md
security.disable-downloads-blocking,Preserve Zone Information on Attachments,"Windows normally tags downloaded files with where they came from, like the Internet or intranet. That information helps Windows decide when to warn or protect you. This policy controls whether that tagging happens.",Medium,Security,Registry,research/records/security.disable-downloads-blocking.json,Docs/security/security-verified.md
security.disable-enhanced-defender-notifications,Windows Security Enhanced Notifications,Windows Security can show non-critical notifications about device health and protection status. This policy hides those extra notifications so only critical ones remain.,Medium,Security,Registry,research/records/security.disable-enhanced-defender-notifications.review.json,Docs/security/security-verified.md
security.disable-ntfs-encryption,Disable NTFS Encryption (EFS),Windows can encrypt files on NTFS volumes by using EFS. This policy decides whether that encryption feature is allowed on NTFS volumes.,Medium,Security,Registry,research/records/security.disable-ntfs-encryption.json,Docs/security/security-verified.md
security.disable-p2p-updates,Delivery Optimization Download Mode,Delivery Optimization controls whether Windows uses other PCs to help download updates and Microsoft content. This policy sets how much peer-to-peer sharing Delivery Optimization is allowed to use.,Medium,Security,Registry,research/records/security.disable-p2p-updates.review.json,Docs/security/security-verified.md
security.disable-password-reveal,Password Reveal Button,Windows can show an eye button next to password boxes so people can quickly check what they typed. This policy decides whether that button appears.,Medium,Security,Registry,research/records/security.disable-password-reveal.json,Docs/security/security-verified.md
security.disable-picture-password,Picture Password Sign-In for Domain Users,Picture password lets someone sign in by tapping or drawing gestures on an image. This policy controls whether domain users are allowed to use that sign-in method.,Medium,Security,Registry,research/records/security.disable-picture-password.json,Docs/security/security-verified.md
security.disable-remote-assistance,Solicited Remote Assistance,Remote Assistance lets a user invite someone to help with the PC remotely. This policy decides whether that built-in help feature is allowed.,Medium,Security,Registry,research/records/security.disable-remote-assistance.json,Docs/security/security-verified.md
security.disable-system-mitigations,Disable System Mitigations,Imports the documented Exploit Protection XML baseline that disables the researched system-wide mitigation bundle.,Risky,Security,Command,engine/Tweaks/Commands/Security/DisableSystemMitigationsTweak.cs#L34,Docs/security/security-verified.md
security.disable-system-restore,Turn Off System Restore,System Restore lets Windows roll the system back to an earlier state after problems. This policy turns that recovery feature off.,Medium,Security,Registry,research/records/security.disable-system-restore.review.json,Docs/security/security-verified.md
security.disable-uac,Disable UAC (Full),Disables User Account Control entirely. Requires a reboot and severely lowers system security.,Risky,Security,Command,engine/Tweaks/Commands/Security/DisableUacFullTweak.cs#L18,Docs/security/security-verified.md
security.disable-vbs,Virtualization Based Security Policy Bundle,These Windows security features use virtualization to protect credentials and kernel integrity. This policy bundle turns those protections off.,Medium,Security,Registry,research/records/security.disable-vbs.json,Docs/security/security-verified.md
security.disable-windows-firewall,Windows Defender Firewall Policy,Windows Defender Firewall protects the PC's network connections. The official policy can force the firewall on or off for managed profiles.,Medium,Security,Registry,research/records/security.disable-windows-firewall.review.json,Docs/security/security-verified.md
security.disable-windows-update.policy,Windows Update Policy Control,These policies control whether Windows Update access is removed and whether automatic updates are prohibited.,Medium,Security,Registry,research/records/security.disable-windows-update.policy.review.json,Docs/security/security-verified.md
security.disable-wpbt,Disable WPBT Execution,"WPBT lets vendors and OEMs run a program from firmware during Windows startup. This tweak currently relies on a Session Manager registry value that is widely cited in community hardening material, but this research pass did not capture a primary Microsoft document that publishes that exact registry mapping.",Medium,Security,Registry,research/records/security.disable-wpbt.review.json,Docs/security/security-verified.md
security.disable-wu-driver-updates,Windows Update Driver Search Policy,"When Windows needs a device driver, it can search Windows Update for one. These policies control whether that search is allowed and, if it is, when it happens.",Medium,Security,Registry,research/records/security.disable-wu-driver-updates.json,Docs/security/security-verified.md
security.enable-defender-maps-advanced-membership,Microsoft Defender MAPS Membership,Microsoft Defender can join Microsoft MAPS so the service can use cloud lookup and share more threat data with Microsoft.,Medium,Security,Registry,research/records/security.enable-defender-maps-advanced-membership.review.json,Docs/security/security-verified.md
